Arenaria interpres
Arenaria melanocephala
Argusianus argus
Arremon abeillei
Arremon aurantiirostris
Arremon flavirostris
Arremon schlegeli
Arremon taciturnus
Arremonops chloronotus
Arremonops conirostris
Arremonops rufivirgatus
Arremonops tocuyensis
Arses insularis
Arses kaupi
Arses telescophthalmus
Artamella viridis
Artamus cinereus
Artamus cyanopterus
Artamus fuscus
Artamus insignis
Artamus leucorynchus
Artamus maximus
Artamus mentalis
Artamus minor
Artamus monachus
Artamus personatus
Artamus superciliosus
Arundinicola leucocephala
Ashbyia lovensis
Asio abyssinicus
Asio capensis
Asio clamator
Asio flammeus
Asio madagascariensis
Asio otus
Asio stygius
Aspatha gularis
Asthenes anthoides
Asthenes baeri
Asthenes berlepschi
Asthenes cactorum
Asthenes dorbignyi
Asthenes flammulata
Asthenes heterura
Asthenes hudsoni
Asthenes humicola
Asthenes humilis
Asthenes luizae
Asthenes maculicauda
Asthenes modesta
Asthenes ottonis
Asthenes patagonica
Asthenes pudibunda
Asthenes punensis
Asthenes pyrrholeuca
Asthenes steinbachi
Asthenes urubambensis
Asthenes virgata
Asthenes wyatti
Astrapia
Astrapia mayeri
Astrapia nigra
Astrapia rothschildi
Astrapia splendidissima
Astrapia stephaniae
Asturina nitida
Atalotriccus pilaris
Atelornis crossleyi
Atelornis pittoides
Athene brama
Athene noctua
Atlantisia rogersi
Atlapetes albiceps
Atlapetes albinucha
Atlapetes albofrenatus
Atlapetes brunneinucha
Atlapetes citrinellus
Atlapetes flaviceps
Atlapetes fulviceps
Atlapetes fuscoolivaceus
Atlapetes gutturalis
Atlapetes leucopis
Atlapetes leucopterus
Atlapetes melanocephalus
Atlapetes nationi
Atlapetes pallidiceps
Atlapetes pallidinucha
Atlapetes personatus
Atlapetes pileatus
Atlapetes rufigenis
Atlapetes rufinucha
Atlapetes schistaceus
Atlapetes seebohmi
Atlapetes semirufus
Atlapetes torquatus
Atlapetes tricolor
Atlapetes virenticeps
Atrichornis clamosus
Atrichornis rufescens
Attagis gayi
Attagis malouinus
Atthis ellioti
Atthis heloisa
Atticora fasciata
Atticora melanoleuca
Attila bolivianus
Attila cinnamomeus
Attila citriniventris
Attila phoenicurus
Attila rufus
Attila spadiceus
Attila torridus
Augastes geoffroyi
Augastes lumachellus
Augastes scutatus
Aulacorhynchus coeruleicinctis
Aulacorhynchus derbianus
Aulacorhynchus haematopygus
Aulacorhynchus huallagae
Aulacorhynchus prasinus
Aulacorhynchus sulcatus
Auriparus flaviceps
Automolus infuscatus
Automolus leucophthalmus
Automolus melanopezus
Automolus ochrolaemus
Automolus roraimae
Automolus rubiginosus
Automolus rufipileatus
Aviceda cuculoides
Aviceda jerdoni
Aviceda leuphotes
Aviceda madagascariensis
Aviceda subcristata
Avocettula recurvirostris
Aythya affinis
Aythya americana
Aythya australis
Aythya baeri
Aythya collaris
Aythya ferina
Aythya fuligula
Aythya innotata
Aythya marila
Aythya novaeseelandiae
Aythya nyroca
Aythya valisineria
Babax
Babax koslowi
Babax lanceolatus
Babax waddelli
Baeopogon clamans
Baeopogon indicator
Baillonius bailloni
Balaeniceps rex
Balearica pavonina
Balearica regulorum
Bambusicola fytchii
Bambusicola thoracica
Bangsia arcaei
Bangsia aureocincta
Bangsia edwardsi
Bangsia melanochlamys
Bangsia rothschildi
Bartramia longicauda
Baryphthengus martii
Baryphthengus ruficapillus
Basileuterus basilicus
Basileuterus belli
Basileuterus bivittatus
Basileuterus chrysogaster
Basileuterus cinereicollis
Basileuterus conspicillatus
Basileuterus coronatus
Basileuterus culicivorus
Basileuterus flaveolus
Basileuterus fraseri
Basileuterus fulvicauda
Basileuterus griseiceps
Basileuterus hypoleucus
Basileuterus ignotus
Basileuterus leucoblepharus
Basileuterus leucophrys
Basileuterus luteoviridis
Basileuterus melanogenys
Basileuterus nigrocristatus
Basileuterus rivularis
Basileuterus rufifrons
Basileuterus signatus
Basileuterus trifasciatus
Basileuterus tristriatus
Basilornis celebensis
Basilornis corythaix
Basilornis galeatus
Basilornis miranda
Batara cinerea
Bathmocercus cerviniventris
Bathmocercus rufus
Batis
Batis
Batis
Batis capensis
Batis dimorpha
Batis diops
Batis fratrum
Batis ituriensis
Batis margaritae
Batis minima
Batis minor
Batis minulla
Batis mixta
Batis molitor
Batis occulta
Batis orientalis
Batis perkeo
Batis poensis
Batis pririt
Batis reichenowi
Batis senegalensis
Batis soror
Batrachostomus affinis
Batrachostomus auritus
Batrachostomus cornutus
Batrachostomus harterti
Batrachostomus hodgsoni
Batrachostomus javensis
Batrachostomus mixtus
Batrachostomus moniliger
Batrachostomus poliolophus
Batrachostomus septimus
Batrachostomus stellatus
Baya
Bebrornis rodericanus
Bebrornis sechellensis
Berlepschia rikeri
Biatas nigropectus
Biziura lobata
Bleda canicapilla
Bleda eximia
Bleda syndactyla
Blythipicus pyrrhotis
Blythipicus rubiginosus
Boissonneaua flavescens
Boissonneaua jardini
Boissonneaua matthewsii
Bolbopsittacus lunulatus
Bolborhynchus aurifrons
Bolborhynchus aymara
Bolborhynchus ferrugineifrons
Bolborhynchus lineola
Bolborhynchus orbygnesius
Bombycilla cedrorum
Bombycilla garrulus
Bombycilla japonica
Bonasa bonasia
Bonasa sewerzowi
Bonasa umbellus
Bostrychia carunculata
Bostrychia hagedash
Bostrychia olivacea
Bostrychia rara
Botaurus lentiginosus
Botaurus pinnatus
Botaurus poiciloptilus
Botaurus stellaris
Brachycope anomala
Brachygalba albogularis
Brachygalba goeringi
Brachygalba lugubris
Brachygalba salmoni
Brachypteracias leptosomus
Brachypteracias squamigera
Brachypteryx hyperythra
Brachypteryx leucophrys
Brachypteryx major
Brachypteryx montana
Brachypteryx stellata
Brachyramphus brevirostris
Brachyramphus marmoratus
Bradornis infuscatus
Bradornis mariquensis
Bradornis microrhynchus
Bradornis pallidus
Bradornis pumilus
Bradypterus accentor
Bradypterus alfredi
Bradypterus baboecala
Bradypterus barratti
Bradypterus carpalis
Bradypterus castaneus
Bradypterus caudatus
Bradypterus cinnamomeus
Bradypterus grandis
Bradypterus graueri
Bradypterus lopezi
Bradypterus luteoventris
Bradypterus major
Bradypterus mariae
Bradypterus palliseri
Bradypterus seebohmi
Bradypterus sylvaticus
Bradypterus tacsanowskius
Bradypterus thoracicus
Bradypterus victorini
Branta bernicla
Branta canadensis
Branta leucopsis
Branta ruficollis
Branta sandvicensis
Brotogeris chiriri
